"edge_bucket","number_of_bets","win_rate","average_edge","total_profit","total_staked","roi"
"0-2%","169","0.5207100591715976","0.01013753887418105","-2013.07688529035","16900.0","-0.11911697546096746"
"2-5%","383","0.6005221932114883","0.03545057878516667","2836.969849970731","38300.0","0.07407231984257784"
"5-8%","872","0.5194954128440367","0.06562804702830435","-4663.446460651236","87200.0","-0.053479890603798576"
"8%+","2163","0.545538603791031","0.14372850892167544","26069.183351296026","216300.0","0.12052327023252901"
