"strategy","bets","ROI","win_rate","profit"
"s4_edge_gt_0p05_p_ge_0p70","62","0.16961634806439957","0.6774193548387096","1051.6213579992773"
"s3_edge_gt_0p05_p_ge_0p60","393","0.08613012945444616","0.5699745547073791","3384.914087559734"
"s1_edge_gt_0p03","801","0.0699464009034816","0.5418227215980025","5602.706712368876"
"s2_edge_gt_0p05","661","0.0685388715414598","0.529500756429652","4530.419408890492"
"s5_agreement_edge_gt_0p05","597","0.05658196345752599","0.5309882747068677","3377.9432184143016"
"v1_base","1073","0.03990703699993","0.5442684063373718","4282.025070092489"
