"strategy_name","strategy_label","bets_placed","wins","losses","win_rate","total_profit","roi","turnover_roi","max_drawdown","max_drawdown_pct","longest_losing_streak","decision"
"kelly_quarter","Quarter Kelly","262","158","104","0.6030534351145038","18194.143962214996","1.8194143962214995","0.06154497279174154","23583.463739580675","2.3583463739580677","5","REJECT"
"kelly_capped_2pct","Kelly Capped 2%","262","158","104","0.6030534351145038","7166.746693847428","0.7166746693847428","0.1095390976469002","3017.7563617629276","0.30177563617629277","5","ACCEPT"
"pct_bankroll_1pct","1% Bankroll","262","158","104","0.6030534351145038","3257.0100600808273","0.3257010060080827","0.11086262537569218","1308.322825781459","0.1308322825781459","5","ACCEPT"
"flat_100","Flat $100","262","158","104","0.6030534351145038","2937.1812791692955","0.29371812791692953","0.11210615569348456","1117.291045177777","0.1117291045177777","5","ACCEPT"
"kelly_half","Half Kelly","262","158","104","0.6030534351145038","1408.9300088210948","0.1408930008821095","0.003458478188723109","47243.74672549397","4.724374672549397","5","REJECT"
"kelly_full","Full Kelly","262","158","104","0.6030534351145038","-9997.450655964529","-0.9997450655964529","-0.0688800836663995","22938.4603578213","2.29384603578213","5","REJECT"
